id,page,department,series,name,spec,basePrice,designerPrice,retailPrice,designerAllowed,shopAllowed,source,notes
"FIOLE-0001","1","藥水","F.植萃燙髮（溫塑直髮）","100 EX 一劑 EXTRA HARD","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0002","1","藥水","F.植萃燙髮（溫塑直髮）","80 H 一劑 HARD","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0003","1","藥水","F.植萃燙髮（溫塑直髮）","50 N 一劑 NORMAL","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0004","1","藥水","F.植萃燙髮（溫塑直髮）","15 LD 一劑（酸性）","400g","500","375","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0005","1","藥水","F.植萃燙髮（溫塑直髮）","LOTION 二劑（液狀）","400mL","300","225","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0006","1","藥水","F.植萃燙髮（溫塑直髮）","LD 二劑（乳液狀）","400mL","300","225","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0007","1","藥水","F.植萃燙髮（溫塑直髮）","CREAM 二劑（霜狀）","400g","400","300","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0008","1","藥水","F.植萃燙髮（溫塑直髮）","LOTION OX2 二劑（液狀）","2000mL","650","488","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0009","1","藥水","F.植萃燙髮（溫塑直髮）","ST 軟化加強劑","200mL","400","300","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0010","1","藥水","F.WAVE 翡翠冷燙","翡翠冷燙 H1 一劑","400mL","350","263","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0011","1","藥水","F.WAVE 翡翠冷燙","翡翠冷燙 N1 一劑","400mL","350","263","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
"FIOLE-0012","1","藥水","F.WAVE 翡翠冷燙","翡翠冷燙 10% 二劑（溴酸鈉）","960mL","400","300","0","true","false","LINE_ALBUM_Fiole價目表_260804_1.jpg",""
